t,ego_x,ego_y,ego_v,ego_theta,ego_a,ego_delta,g1_x,g1_y,g1_vx,g1_vy,g2_x,g2_y,g2_vx,g2_vy,v3_x,v3_y,v3_vx,v3_vy,y_min,y_max,mpc_status,sf_active,c_geom,c_safety
0.00,10.000,2.500,5.000,0.0000,-0.596,-0.0000,55.020,5.200,0.200,0.000,58.010,5.495,0.100,-0.050,59.700,5.200,-3.000,0.000,0.900,5.100,1,0,20.9000,20.7000
0.10,10.499,2.500,4.970,0.0000,-0.602,0.0043,55.040,5.200,0.200,0.000,58.020,5.490,0.100,-0.050,59.400,5.200,-3.000,0.000,0.900,5.100,1,0,20.4015,20.2015
0.20,10.993,2.500,4.910,0.0002,-0.304,0.0065,55.060,5.200,0.200,0.000,58.030,5.485,0.100,-0.050,59.100,5.200,-3.000,0.000,0.900,5.100,1,0,19.9075,19.7075
0.30,11.481,2.500,4.865,0.0008,-0.042,0.0072,55.080,5.200,0.200,0.000,58.040,5.480,0.100,-0.050,58.800,5.200,-3.000,0.000,0.900,5.100,1,0,19.4187,19.2187
0.40,11.967,2.501,4.848,0.0017,0.116,0.0075,55.100,5.200,0.200,0.000,58.050,5.475,0.100,-0.050,58.500,5.200,-3.000,0.000,0.900,5.100,1,0,18.9331,18.7331
0.50,12.452,2.502,4.851,0.0028,0.118,0.0069,55.120,5.200,0.200,0.000,58.060,5.470,0.100,-0.050,58.200,5.200,-3.000,0.000,0.900,5.100,1,0,18.4481,18.2481
0.60,12.938,2.504,4.863,0.0040,0.083,0.0064,55.140,5.200,0.200,0.000,58.070,5.465,0.100,-0.050,57.900,5.200,-3.000,0.000,0.900,5.100,1,0,17.9624,17.7624
0.70,13.424,2.506,4.873,0.0052,0.014,0.0054,55.160,5.200,0.200,0.000,58.080,5.460,0.100,-0.050,57.600,5.200,-3.000,0.000,0.900,5.100,1,0,17.4756,17.2756
0.80,13.912,2.509,4.878,0.0063,-0.039,0.0043,55.180,5.200,0.200,0.000,58.090,5.455,0.100,-0.050,57.300,5.200,-3.000,0.000,0.900,5.100,1,0,16.9880,16.7880
0.90,14.400,2.512,4.877,0.0073,-0.025,0.0039,55.200,5.200,0.200,0.000,58.100,5.450,0.100,-0.050,57.000,5.200,-3.000,0.000,0.900,5.100,1,0,16.5003,16.3003
